110,AbbVie,111,5309.00 ,-10.80,29000,Richard A. Gonzalez,Health Care,Pharmaceuticals,North Chicago,IL,42.325578,-87.8411818
111,Abbott Laboratories,135,477.00 ,-65.90,99000,Miles D. White,Health Care,Medical Products and Equipment,Lake Bluff,IL,42.304505,-87.8960712
112,Progressive,120,1592.20 ,54.40,33656,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),Mayfield,OH,41.5519952,-81.4392828
113,Arrow Electronics,118,402.00 ,-23.10,18800,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO,39.5807452,-104.8771726
114,Kraft Heinz,106,10999.00 ,202.80,39000,Bernardo Hees,"Food, Beverages &  Tobacco",Food Consumer Products,Pittsburgh,PA,40.4406248,-79.9958864
115,Plains GP Holdings,141,731.00,-877.70,4850,Greg L. Armstrong,Energy,Pipelines,Houston,TX,29.7604267,-95.3698028
116,Gilead Sciences,92,4628.00 ,-65.70,10000,John F. Milligan IV,Health Care,Pharmaceuticals,San Mateo,CA,37.5585465,-122.2710788
117,Mondelez International,109,2922.00 ,76.10,83000,Dirk Van de Put,"Food, Beverages &  Tobacco",Food Consumer Products,Deerfield,IL,42.1711365,-87.8445119
118,Northrop Grumman,114,2015.00 ,-8.40,70000,Wesley G. Bush,Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,38.882334,-77.1710914
119,Raytheon,116,2024.00 ,-8.50,64000,Thomas A. Kennedy,Aerospace &  Defense,Aerospace and Defense,Waltham,MA,42.3764852,-71.2356113
120,Macys,110,1547.00 ,149.90,130000,Jeffrey Gennette,Retailing,General Merchandisers,Cincinnati,OH,39.1031182,-84.5120196
121,US Foods Holding,124,444.30 ,111.80,25204,Pietro Satriano,Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL,41.9867507,-87.8721602
122,U.S. Bancorp,125,6218.00 ,5.60,72402,Andrew J. Cecere,Financials,Commercial Banks,Minneapolis,MN,44.977753,-93.2650108
123,Dollar General,128,1539.00 ,23.00,129000,Todd J. Vasos,Retailing,Specialty Retailers: Other,Goodlettsville,TN,36.3231066,-86.7133302
124,International Paper,133,2144.00 ,137.20,56000,Mark S. Sutton,Materials,"Packaging, Containers",Memphis,TN,35.1495343,-90.0489801
125,Duke Energy,121,3059.00 ,42.10,29060,Lynn J. Good,Energy,Utilities: Gas and Electric,Charlotte,NC,35.2270869,-80.8431267
126,Southern,145,842.00 ,-65.60,31344,Thomas A. Fanning,Energy,Utilities: Gas and Electric,Atlanta,GA,33.7489954,-84.3879824
127,Marriott International,163,1372.00 ,75.90,177000,Arne M. Sorenson,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Bethesda,MD,38.984652,-77.0947092
128,Avnet,108,525.30 ,3.70,15700,William J. Amelio,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ,33.4483771,-112.0740373
129,Eli Lilly,132,204.10,-107.50,40655,David A. Ricks,Health Care,Pharmaceuticals,Indianapolis,IN,39.768403,-86.158068
130,Amgen,123,1979.00 ,-74.40,20800,Robert A. Bradway,Health Care,Pharmaceuticals,Thousand Oaks,CA,34.1705609,-118.8375937
131,McDonalds,112,5192.30 ,10.80,235000,Stephen J. Easterbrook,"Hotels, Restaurants &  Leisure",Food Services,Oak Brook,IL,41.8397865,-87.9535534
132,Starbucks,131,2884.70 ,2.40,277000,Keven R. Johnson,"Hotels, Restaurants &  Leisure",Food Services,Seattle,WA,47.6062095,-122.3320708
133,Qualcomm,119,2466.00 ,-56.80,33800,Steven M. Mollenkopf,Technology,Semiconductors and Other Electronic Components,San Diego,CA,32.715738,-117.1610838
134,Dollar Tree,136,1714.30 ,91.30,116200,Gary M. Philbin,Retailing,Specialty Retailers: Other,Chesapeake,VA,36.7682088,-76.2874927
135,PBF Energy,172,415.50 ,143.30,3165,Thomas J. Nimbley,Energy,Petroleum Refining,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
136,Icahn Enterprises,168,2430.00 ,-,89034,Keith Cozza,Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
137,Aflac,126,4604.00 ,73.10,11318,Daniel P. Amos,Financials,"Insurance: Life, Health (stock)",Columbus,GA,32.4609764,-84.9877094
138,AutoNation,129,434.60 ,1.00,26000,Michael J. Jackson,Retailing,"Automotive Retailing, Services",Fort Lauderdale,FL,26.1224386,-80.1373174
139,Penske Automotive Group,142,613.30 ,78.90,26000,Roger S. Penske,Retailing,"Automotive Retailing, Services",Bloomfield Hills,MI,42.583645,-83.2454883
140,Whirlpool,137,350.00 ,-60.60,92000,Marc R. Bitzer,Industrials,"Electronics, Electrical Equip.",Benton Harbor,MI,42.1167065,-86.4541894
141,Union Pacific,143,10712.00 ,153.10,41992,Lance M. Fritz,Transportation,Railroads,Omaha,NE,41.2565369,-95.9345034
142,Southwest Airlines,138,3488.00 ,55.40,56110,Gary C. Kelly,Transportation,Airlines,Dallas,TX,32.7766642,-96.7969879
143,ManpowerGroup,146,545.40 ,22.90,29000,Jonas Prising,Business Services,Temporary Help,Milwaukee,WI,43.0389025,-87.9064736
144,Thermo Fisher Scientific,154,2225.00 ,10.10,66100,Marc N. Casper,Technology,"Scientific,Photographic and  Control Equipment",Waltham,MA,42.3764852,-71.2356113
145,Bristol-Myers Squibb,147,1007.00 ,-77.40,23700,Giovanni Caforio,Health Care,Pharmaceuticals,New York,NY,40.7127753,-74.0059728
146,Halliburton,173,463.00,-,55000,Jeffrey A. Miller,Energy,"Oil and Gas Equipment, Services",Houston,TX,29.7604267,-95.3698028
147,Tenet Healthcare,134,704.00,-,111980,Ronald A. Rittenmeyer,Health Care,Health Care: Medical Facilities,Dallas,TX,32.7766642,-96.7969879
148,Lear,151,1313.40 ,34.70,165000,Raymond E. Scott,Motor Vehicles &  Parts,Motor Vehicles and Parts,Southfield,MI,42.4733688,-83.2218731
